"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Drew Butera","LAA","12","36","0","1","5","0","0.0%","44.4%",".031",".176",".094",".091",".125",".091",".149","-53","0.3","-6.4","-1.9","-0.7","3411"
"Erik Gonzalez","PIT","71","229","2","17","21","2","3.5%","17.5%",".068",".274",".232",".258",".300",".244",".274","50","-1.9","-16.4","1.6","-0.7","13369"
"Keston Hiura","MIL","61","197","4","16","19","3","7.1%","39.1%",".133",".269",".168",".256",".301",".250",".281","52","1.3","-10.7","-3.1","-0.7","20003"
"Jurickson Profar","SDP","137","412","4","47","33","10","11.9%","15.8%",".093",".266",".227",".329",".320",".293",".302","85","-1.9","-9.6","-11.3","-0.7","10815"
"Ryan O'Hearn","KCR","84","254","9","23","29","0","5.1%","28.0%",".144",".277",".225",".268",".369",".274",".293","70","-2.1","-11.5","-4.4","-0.7","16442"
"Franchy Cordero","BOS","48","136","1","12","9","1","5.9%","37.5%",".071",".307",".189",".237",".260",".222",".239","32","0.6","-10.8","-1.4","-0.8","14567"
"Ildemaro Vargas","- - -","34","83","0","7","7","1","7.2%","20.5%",".065",".200",".156",".217",".221",".192",".245","15","0.2","-8.8","-1.5","-0.8","13324"
"David Dahl","TEX","63","220","4","19","18","2","4.5%","26.8%",".112",".269",".210",".247",".322",".246",".296","54","-0.7","-13.1","-2.0","-0.8","13744"
"Justin Williams","STL","51","137","4","10","11","0","12.4%","33.6%",".101",".217",".160",".270",".261",".229",".316","44","-0.6","-10.4","-2.0","-0.8","15490"
"Cody Bellinger","LAD","95","350","10","39","36","3","8.9%","26.9%",".137",".196",".165",".240",".302",".237",".281","48","2.1","-21.2","1.8","-0.8","15998"
"Jackie Bradley Jr.","MIL","134","428","6","39","29","7","6.5%","30.8%",".098",".226",".163",".236",".261",".224",".257","35","2.1","-33.1","10.9","-0.8","12984"
"Willians Astudillo","MIN","73","216","7","17","21","0","1.4%","5.6%",".139",".221",".236",".259",".375",".272",".279","70","-3.5","-11.4","-4.4","-0.8","15608"
"Michael Perez","PIT","70","231","7","19","21","0","8.2%","29.4%",".148",".170",".143",".221",".290",".225",".244","38","-0.5","-18.7","2.5","-0.9","12977"
"Domingo Leyba","- - -","34","96","1","6","4","0","8.3%","24.0%",".046",".143",".115",".198",".161",".172",".236","2","-0.6","-12.3","0.3","-0.9","16404"
"Clint Frazier","NYY","66","218","5","20","15","2","14.7%","29.8%",".131",".257",".186",".317",".317",".289",".313","83","-2.4","-7.1","-9.3","-0.9","15983"
"Austin Wynns","BAL","45","139","4","14","14","1","5.8%","22.3%",".123",".211",".185",".232",".308",".236",".243","44","-1.3","-10.8","-3.3","-0.9","15271"
"Pat Valaika","BAL","91","281","5","17","25","1","5.7%","27.0%",".089",".260",".201",".250",".290",".238",".266","46","-1.2","-19.9","0.8","-1.0","14885"
"Andrew Knizner","STL","63","185","1","18","9","0","10.8%","21.1%",".062",".223",".174",".281",".236",".238",".275","50","-1.5","-13.3","-2.5","-1.0","19514"
"JaCoby Jones","DET","36","105","2","9","9","2","4.8%","40.0%",".080",".268",".170",".210",".250",".204",".248","24","-0.8","-10.6","-2.7","-1.0","14818"
"Andrew Knapp","PHI","62","159","2","13","11","0","6.3%","38.4%",".062",".241",".152",".215",".214",".196",".231","18","1.5","-15.2","-0.8","-1.1","14942"
"Owen Miller","CLE","60","202","4","17","18","2","4.5%","26.7%",".105",".261",".204",".243",".309",".241",".264","49","-2.3","-15.0","-2.8","-1.1","24655"
"Gregory Polanco","PIT","107","382","11","38","36","14","9.4%","27.2%",".146",".258",".208",".283",".354",".275",".315","71","1.9","-12.3","-11.9","-1.2","12907"
"Joe Panik","- - -","95","257","3","17","18","2","6.6%","13.2%",".076",".230",".208",".266",".284",".244",".274","51","-2.0","-17.8","-2.4","-1.2","11936"
