rank,player,position,organization,age,prospect_rank
544,Asa Lacy,SP,KCR,23,188
545,Spencer Strider,SP,ATL,23,189
546,Adam Wainwright,SP,STL,40,
547,Mike Moustakas,3B,CIN,33,
548,Mike Soroka,SP,ATL,24,
549,Brusdar Graterol,RP,LAD,23,
550,Alex Cobb,SP,LAA,34,
551,Dylan Lesko,SP,Open,18,190
552,Simeon Woods Richardson,SP,TOR,21,191
553,Nestor Cortes Jr.,SP,NYY,27,
554,Kyle Isbel,OF,KCR,25,
555,Connor Joe,OF,COL,29,
556,Kevin Smith,3B,TOR,25,192
557,Ryan Jeffers,C,MIN,25,
558,Erick Peña,OF,KCR,19,193
559,Robbie Grossman,OF,DET,32,
560,Aaron Hicks,OF,NYY,32,
561,Yoshinobu Yamamoto,SP,Open,23,194
562,Anthony Bender,RP,MIA,27,
563,Mitch Garver,C,MIN,31,
564,Elieser Hernandez,SP,MIA,27,
565,Jake Eder,SP,MIA,23,195
566,Jordan Balazovic,SP,MIN,23,196
567,Lucas Sims,RP,CIN,28,
568,Quinn Priester,SP,PIT,21,197
569,Sam Bachman,SP,LAA,22,198
570,Dinelson Lamet,SP,SDP,29,
571,Bobby Miller,SP,LAD,23,199
572,Eguy Rosario,2B,SDP,22,200
573,Jose Ramos,OF,LAD,21,201
574,Kyren Paris,SS/2B,LAA,20,202
575,Otto Lopez,2B,TOR,23,203
576,Kristian Robinson,OF,ARI,21,204
577,Rece Hinds,3B,CIN,21,205
578,Felix Valerio,2B/SS/3B,MIL,21,206
579,Izaac Pacheco,3B,DET,19,207
580,Peyton Graham,3B,Open,21,208
581,Dillon Dingler,C,DET,23,209
582,Elias Diaz,C,COL,31,
583,Gio Urshela,3B/SS,NYY,30,
584,Miguel Rojas,SS,MIA,33,
585,Freddy Tarnok,SP,ATL,23,210
586,Heriberto Hernandez,OF,TBR,22,211
587,James Kaprielian,SP,OAK,28,
588,Jake Meyers,OF,HOU,26,
589,Bobby Bradley,1B,CLE,26,
590,Christian Walker,1B,ARI,31,
591,Luke Weaver,SP,ARI,28,
592,Josh Naylor,OF,CLE,25,
593,Oscar Mercado,OF,CLE,27,
594,Enrique Bradfield,OF,Open,20,212
595,Seth Beer,DH,ARI,25,213
596,Hunter Dozier,3B/OF,KCR,30,
597,Wilmer Flores,3B/1B/2B,SFG,30,
598,Michael Wacha,SP,TBR,30,
599,Jordan Wicks,SP,CHC,22,214
600,Jose Suarez,SP,LAA,24,
601,Ryan Weathers,SP,SDP,22,
602,MacKenzie Gore,SP,SDP,23,215
603,Oswaldo Cabrera,SS,NYY,23,216
604,Carlos Colmenarez,SS,TBR,18,217
605,Nick Loftin,SS,KCR,23,218
606,Eric Haase,C/OF,DET,29,
607,Ian Kennedy,RP,FA,37,
608,Brad Hand,RP,FA,32,
609,Ryne Nelson,SP,ARI,24,219
610,Gregory Soto,RP,DET,27,
611,Josh Staumont,RP,KCR,28,
612,Josh Winder,SP,MIN,25,220
613,Willy Vasquez,SS,TBR,20,221
614,Jared Jones,SP,PIT,20,222
615,Hans Crouse,SP,PHI,23,223
616,Jeter Downs,SS,BOS,23,224
617,Wilman Diaz,SS,LAD,18,225
618,Konnor Pilkington,SP,CHW,24,226
619,Ryan Kreidler,SS,DET,24,227
620,Kyle Bradish,SP,BAL,25,228
621,Leonardo Jimenez,SS,TOR,21,229
622,Xzavion Curry,SP,CLE,23,230
623,Ryan Murphy,SP,SFG,22,231
624,Ian Seymour,SP,TBR,23,232
625,Brice Turang,SS,MIL,22,233
626,Brandon Pfaadt,SP,ARI,23,234
627,DJ Herz,SP,CHC,21,235
628,Randy Vasquez,SP,NYY,23,236
629,Max Clark,OF,Open,17,237
630,Ryan Pepiot,SP,LAD,24,238
631,Angel Martinez,SS,CLE,20,239
632,Carlos Santana,1B,KCR,36,
633,Clayton Beeter,SP,LAD,23,240
634,Emerson Hancock,SP,SEA,23,241
635,Dylan Floro,RP,MIA,31,
636,Khalil Lee,OF,NYM,24,242
637,Cole Wilcox,SP,TBR,22,243
638,Carson Williams,SS,TBR,19,244
639,Roderick Arias,SS,NYY,17,245
640,Gavin Stone,SP,LAD,23,246
641,Luisangel Acuña,SS,TEX,20,247
642,Colby White,SP,TBR,23,248
643,Luis Medina,SP,NYY,23,249
644,Tobias Myers,SP,TBR,23,250
645,Bryce Jarvis,SP,ARI,24,251
646,Keston Hiura,1B,MIL,25,
647,Griffin Canning,SP,LAA,26,
648,Carlos Hernandez,SP,KCR,25,
649,Drew Smyly,SP,ATL,33,
650,Vladimir Gutierrez,SP,CIN,26,
651,Clarke Schmidt,SP,NYY,26,252
652,Kyle Muller,SP,ATL,24,253
653,Garrett Cooper,OF,MIA,31,
654,Aristides Aquino,OF,CIN,28,
655,Jose Quintana,SP,PIT,33,
656,Chase Petty,SP,STL,19,254
657,Matt Mikulski,SP,SFG,23,255
658,Kumar Rocker,SP,Open,22,256
