prospect_year,player_id,player_first_name,player_last_name,rank,position,preseason100,preseason20,team_file_code,thumb,thumb62x75,thumb124x150,photo180x218,photo360x436
2018,658431,Adonis,Medina,64,RHP,86,4,PHI,/assets/images/9/7/4/271472974/cuts/74x74/cut.jpg,/assets/images/9/7/4/271472974/cuts/62x75/cut.jpg,/assets/images/9/7/4/271472974/cuts/124x150/cut.jpg,/assets/images/9/7/4/271472974/cuts/180x218/cut.jpg,/assets/images/9/7/4/271472974/cuts/360x436/cut.jpg
2018,643376,Danny,Jansen,65,C,,6,TOR,/assets/images/5/3/0/295121530/cuts/74x74/cut.jpg,/assets/images/5/3/0/295121530/cuts/62x75/cut.jpg,/assets/images/5/3/0/295121530/cuts/124x150/cut.jpg,/assets/images/5/3/0/295121530/cuts/180x218/cut.jpg,/assets/images/5/3/0/295121530/cuts/360x436/cut.jpg
2018,642528,Jonathan,Loaisiga,66,RHP,,14,NYY,/assets/images/7/9/4/295109794/cuts/74x74/cut.jpg,/assets/images/7/9/4/295109794/cuts/62x75/cut.jpg,/assets/images/7/9/4/295109794/cuts/124x150/cut.jpg,/assets/images/7/9/4/295109794/cuts/180x218/cut.jpg,/assets/images/7/9/4/295109794/cuts/360x436/cut.jpg
2018,658530,Franklin,Perez,67,RHP,39,1,DET,/assets/images/1/5/2/287442152/cuts/74x74/cut.jpg,/assets/images/1/5/2/287442152/cuts/62x75/cut.jpg,/assets/images/1/5/2/287442152/cuts/124x150/cut.jpg,/assets/images/1/5/2/287442152/cuts/180x218/cut.jpg,/assets/images/1/5/2/287442152/cuts/360x436/cut.jpg
2018,665506,Cristian,Pache,68,OF,,9,ATL,/assets/images/1/0/6/295267106/cuts/74x74/cut.jpg,/assets/images/1/0/6/295267106/cuts/62x75/cut.jpg,/assets/images/1/0/6/295267106/cuts/124x150/cut.jpg,/assets/images/1/0/6/295267106/cuts/180x218/cut.jpg,/assets/images/1/0/6/295267106/cuts/360x436/cut.jpg
2018,656308,Michael,Chavis,69,3B,79,1,BOS,/assets/images/8/8/6/295092886/cuts/74x74/cut.jpg,/assets/images/8/8/6/295092886/cuts/62x75/cut.jpg,/assets/images/8/8/6/295092886/cuts/124x150/cut.jpg,/assets/images/8/8/6/295092886/cuts/180x218/cut.jpg,/assets/images/8/8/6/295092886/cuts/360x436/cut.jpg
2018,660813,Brusdar,Graterol,70,RHP,,7,MIN,/assets/images/6/7/2/295501672/cuts/74x74/cut.jpg,/assets/images/6/7/2/295501672/cuts/62x75/cut.jpg,/assets/images/6/7/2/295501672/cuts/124x150/cut.jpg,/assets/images/6/7/2/295501672/cuts/180x218/cut.jpg,/assets/images/6/7/2/295501672/cuts/360x436/cut.jpg
2018,669160,Dustin,May,71,RHP,,11,LA,/assets/images/0/4/6/295430046/cuts/74x74/cut.jpg,/assets/images/0/4/6/295430046/cuts/62x75/cut.jpg,/assets/images/0/4/6/295430046/cuts/124x150/cut.jpg,/assets/images/0/4/6/295430046/cuts/180x218/cut.jpg,/assets/images/0/4/6/295430046/cuts/360x436/cut.jpg
2018,656288,Griffin,Canning,72,RHP,,8,ANA,/assets/images/8/4/2/284568842/cuts/74x74/cut.jpg,/assets/images/8/4/2/284568842/cuts/62x75/cut.jpg,/assets/images/8/4/2/284568842/cuts/124x150/cut.jpg,/assets/images/8/4/2/284568842/cuts/180x218/cut.jpg,/assets/images/8/4/2/284568842/cuts/360x436/cut.jpg
2018,669357,Nolan,Gorman,73,3B,,,STL,/assets/images/6/7/4/295294674/cuts/74x74/cut.jpg,/assets/images/6/7/4/295294674/cuts/62x75/cut.jpg,/assets/images/6/7/4/295294674/cuts/124x150/cut.jpg,/assets/images/6/7/4/295294674/cuts/180x218/cut.jpg,/assets/images/6/7/4/295294674/cuts/360x436/cut.jpg
2018,671218,Heliot,Ramos,74,OF,63,1,SF,/assets/images/8/1/4/280638814/cuts/74x74/cut.jpg,/assets/images/8/1/4/280638814/cuts/62x75/cut.jpg,/assets/images/8/1/4/280638814/cuts/124x150/cut.jpg,/assets/images/8/1/4/280638814/cuts/180x218/cut.jpg,/assets/images/8/1/4/280638814/cuts/360x436/cut.jpg
2018,680552,Travis,Swaggerty,75,OF,,,PIT,/assets/images/9/7/6/295273976/cuts/74x74/cut.jpg,/assets/images/9/7/6/295273976/cuts/62x75/cut.jpg,/assets/images/9/7/6/295273976/cuts/124x150/cut.jpg,/assets/images/9/7/6/295273976/cuts/180x218/cut.jpg,/assets/images/9/7/6/295273976/cuts/360x436/cut.jpg
2018,663531,Logan,Allen,76,LHP,,8,SD,/assets/images/8/5/4/280754854/cuts/74x74/cut.jpg,/assets/images/8/5/4/280754854/cuts/62x75/cut.jpg,/assets/images/8/5/4/280754854/cuts/124x150/cut.jpg,/assets/images/8/5/4/280754854/cuts/180x218/cut.jpg,/assets/images/8/5/4/280754854/cuts/360x436/cut.jpg
2018,666164,Blake,Rutherford,77,OF,99,7,CWS,/assets/images/1/1/4/280378114/cuts/74x74/cut.jpg,/assets/images/1/1/4/280378114/cuts/62x75/cut.jpg,/assets/images/1/1/4/280378114/cuts/124x150/cut.jpg,/assets/images/1/1/4/280378114/cuts/180x218/cut.jpg,/assets/images/1/1/4/280378114/cuts/360x436/cut.jpg
2018,627894,Luiz,Gohara,78,LHP,49,4,ATL,/assets/images/7/4/6/295267746/cuts/74x74/cut.jpg,/assets/images/7/4/6/295267746/cuts/62x75/cut.jpg,/assets/images/7/4/6/295267746/cuts/124x150/cut.jpg,/assets/images/7/4/6/295267746/cuts/180x218/cut.jpg,/assets/images/7/4/6/295267746/cuts/360x436/cut.jpg
2018,656412,Alex,Faedo,79,RHP,59,3,DET,/assets/images/5/0/4/282873504/cuts/74x74/cut.jpg,/assets/images/5/0/4/282873504/cuts/62x75/cut.jpg,/assets/images/5/0/4/282873504/cuts/124x150/cut.jpg,/assets/images/5/0/4/282873504/cuts/180x218/cut.jpg,/assets/images/5/0/4/282873504/cuts/360x436/cut.jpg
2018,641541,Jon,Duplantier,80,RHP,73,1,ARI,/assets/images/6/7/0/280256670/cuts/74x74/cut.jpg,/assets/images/6/7/0/280256670/cuts/62x75/cut.jpg,/assets/images/6/7/0/280256670/cuts/124x150/cut.jpg,/assets/images/6/7/0/280256670/cuts/180x218/cut.jpg,/assets/images/6/7/0/280256670/cuts/360x436/cut.jpg
2018,671277,Luis,Garcia,81,SS/3B,,6,WAS,/assets/images/4/6/8/289051468/cuts/74x74/cut.jpg,/assets/images/4/6/8/289051468/cuts/62x75/cut.jpg,/assets/images/4/6/8/289051468/cuts/124x150/cut.jpg,/assets/images/4/6/8/289051468/cuts/180x218/cut.jpg,/assets/images/4/6/8/289051468/cuts/360x436/cut.jpg
2018,666158,Gavin,Lux,82,SS/2B,,13,LA,/assets/images/1/5/4/295431154/cuts/74x74/cut.jpg,/assets/images/1/5/4/295431154/cuts/62x75/cut.jpg,/assets/images/1/5/4/295431154/cuts/124x150/cut.jpg,/assets/images/1/5/4/295431154/cuts/180x218/cut.jpg,/assets/images/1/5/4/295431154/cuts/360x436/cut.jpg
2018,672715,Luis,Patino,83,RHP,,,SD,/assets/images/1/6/4/285130164/cuts/74x74/cut.jpg,/assets/images/1/6/4/285130164/cuts/62x75/cut.jpg,/assets/images/1/6/4/285130164/cuts/124x150/cut.jpg,/assets/images/1/6/4/285130164/cuts/180x218/cut.jpg,/assets/images/1/6/4/285130164/cuts/360x436/cut.jpg
