"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ryan Ludwick","- - -","1065","3986","154","454","587","17","8.5 %","22.3 %",".191",".303",".260",".330",".451",".340","110","-2.4","49.2","-36.8","13.7","1260"
"Jerry Hairston","- - -","1442","4967","70","580","420","147","7.5 %","11.5 %",".111",".279",".257",".324",".368",".308","87","10.9","-72.2","45.6","13.6","144"
"Gary Matthews Jr.","- - -","1281","4617","108","612","484","95","9.8 %","18.4 %",".148",".299",".257",".332",".405",".323","93","15.4","-27.4","7.9","13.6","153"
"Seth Smith","- - -","1249","4084","126","525","458","22","10.6 %","19.5 %",".185",".300",".261",".344",".446",".342","112","-3.9","51.4","-52.9","13.5","7331"
"Jackie Bradley Jr.","Red Sox","818","3064","91","403","354","55","9.2 %","25.5 %",".174",".295",".236",".317",".409",".314","91","17.0","-12.6","42.0","13.5","12984"
"David Bell","- - -","1403","5381","123","587","589","19","8.0 %","12.8 %",".139",".274",".257",".320",".396",".313","86","-12.1","-110.9","66.7","13.5","1108"
"Brian McRae","- - -","1354","5737","103","734","532","196","8.5 %","14.4 %",".135",".292",".261",".331",".396",".324","94","2.2","-39.7","-6.8","13.5","1008686"
"Sid Bream","- - -","1088","3531","90","351","455","50","10.0 %","12.7 %",".156",".280",".264",".336",".420",".333","107","-7.0","21.9","-8.2","13.3","1001373"
"Ken Singleton","Orioles","836","3469","110","377","461","3","14.0 %","14.6 %",".163",".295",".273",".374",".436",".362","126","-1.8","105.9","-91.6","13.3","1012011"
"Hideki Matsui","- - -","1236","5066","175","656","760","13","10.8 %","13.6 %",".180",".297",".282",".360",".462",".357","119","-1.4","118.9","-158.5","13.3","1659"
"Mitch Webster","- - -","1265","3851","70","504","342","160","8.4 %","15.0 %",".137",".296",".263",".330",".401",".324","102","1.5","10.9","-6.9","13.3","1013719"
"Eduardo Escobar","- - -","928","3449","106","404","426","19","6.7 %","19.5 %",".177",".296",".260",".311",".436",".318","97","6.7","-4.6","20.5","13.3","6153"
"Sandy Alomar Jr.","- - -","1377","4865","112","520","588","25","4.4 %","10.3 %",".134",".284",".273",".309",".406",".313","84","-13.4","-109.1","77.5","13.2","221"
"Cody Ross","- - -","1073","3806","132","449","508","33","7.4 %","21.0 %",".183",".303",".262",".322",".445",".333","103","7.6","23.6","-13.8","13.2","1760"
"Glenn Wilson","- - -","1201","4468","98","451","521","27","5.7 %","15.0 %",".134",".292",".265",".306",".398",".312","93","-5.8","-43.7","26.0","13.1","1014081"
"Joc Pederson","Dodgers","705","2379","123","324","287","16","12.3 %","24.2 %",".242",".260",".233",".339",".474",".346","120","2.2","60.1","-7.0","13.1","11899"
"Joe Crede","- - -","888","3377","140","392","470","4","5.9 %","13.6 %",".190",".255",".254",".304",".444",".322","90","-4.6","-45.4","61.7","13.1","227"
"Ozzie Guillen","- - -","1993","7133","28","773","619","169","3.4 %","7.2 %",".074",".280",".264",".287",".338",".278","66","-11.4","-311.9","203.3","13.1","1005125"
