"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Fergie Jenkins","- - -","53","58","0","152","145","947.2","5.57","2.73","1.08",".281","73.5 %","","","3.88","4.01","","9.8","1006388"
"Gregg Olson","- - -","40","39","217","621","0","672.0","7.88","4.42","0.62",".289","76.0 %","","","3.46","3.64","","9.8","1009791"
"Jason Bere","- - -","71","65","0","211","203","1111.0","7.45","5.07","1.17",".291","68.3 %","39.7 %","11.0 %","5.14","4.89","4.39","9.8","266"
"Todd Ritchie","- - -","43","54","0","184","120","835.2","5.56","2.82","1.12",".301","67.3 %","40.5 %","11.9 %","4.71","4.50","5.03","9.8","253"
"James Baldwin","- - -","79","74","2","266","202","1322.2","5.74","3.31","1.38",".294","70.0 %","36.0 %","13.4 %","5.01","5.04","4.96","9.8","1064"
"Lance McCullers Jr.","Astros","29","22","0","83","80","453.2","10.10","3.53","0.69",".313","72.8 %","54.6 %","11.6 %","3.67","3.24","3.31","9.8","14120"
"Zack Britton","- - -","34","23","145","397","46","603.0","7.45","3.54","0.55",".281","74.4 %","66.5 %","12.3 %","3.07","3.48","3.38","9.8","3240"
"Larry Christenson","Phillies","25","32","1","95","88","557.2","5.83","2.53","0.61",".289","68.6 %","","","3.79","3.19","","9.8","1002215"
"Adam Eaton","- - -","71","68","0","209","201","1178.2","6.53","3.42","1.28",".298","70.1 %","39.5 %","11.6 %","4.94","4.76","4.64","9.7","1029"
"Ken Giles","- - -","14","18","114","353","0","347.1","12.23","2.75","0.67",".312","77.1 %","42.8 %","8.6 %","2.67","2.37","2.83","9.7","12910"
"Mike Jackson","- - -","62","67","142","1005","7","1188.1","7.62","3.51","0.96",".258","76.3 %","39.5 %","9.4 %","3.42","3.96","4.72","9.7","732"
"Rick Langford","Athletics","58","73","0","174","140","1084.0","3.50","2.27","1.04",".274","70.8 %","","","4.05","4.22","","9.6","1007319"
"Dave Schmidt","- - -","54","55","50","376","63","902.0","4.78","2.36","0.85",".292","71.3 %","","","3.88","3.77","","9.6","1011580"
"Kenta Maeda","Dodgers","47","35","6","137","103","589.0","9.79","2.72","1.18",".280","73.0 %","40.9 %","13.3 %","3.87","3.71","3.76","9.6","18498"
"Drew Pomeranz","- - -","46","58","5","242","140","814.0","9.11","3.86","1.18",".297","75.1 %","43.2 %","13.2 %","4.04","4.20","4.12","9.6","11426"
"Trevor Cahill","- - -","84","92","1","341","219","1445.2","6.77","3.65","1.01",".286","72.0 %","54.3 %","13.8 %","4.21","4.40","4.11","9.6","6249"
"Jameson Taillon","Pirates","29","24","0","82","82","466.0","8.09","2.26","0.93",".308","74.5 %","48.2 %","12.1 %","3.67","3.55","3.67","9.5","11674"
"Joe Kennedy","- - -","43","61","2","222","139","908.2","5.53","3.32","1.04",".302","68.7 %","43.6 %","9.4 %","4.79","4.61","4.84","9.5","1217"
"Willie Hernandez","- - -","54","54","140","623","10","875.0","6.91","2.94","0.82",".277","74.9 %","","","3.39","3.46","","9.5","1005714"
"Larry Gura","- - -","83","72","1","208","189","1331.0","3.32","2.71","0.98",".259","69.7 %","","","4.08","4.38","","9.4","1005150"
"Jay Tibbs","- - -","39","54","0","158","133","862.2","4.67","3.33","0.71",".288","68.1 %","","","4.20","3.88","","9.4","1013055"
"Scot Shields","Angels","46","44","21","491","15","697.0","8.15","3.59","0.71",".277","74.4 %","50.7 %","9.4 %","3.18","3.58","3.71","9.4","35"
"John Butcher","- - -","36","49","6","164","113","833.2","3.92","2.47","0.85",".295","68.7 %","","","4.42","3.98","","9.3","1001762"
"Nate Robertson","- - -","57","77","1","223","187","1152.1","6.05","3.28","1.25",".304","68.7 %","46.5 %","12.4 %","5.01","4.75","4.44","9.3","1620"
"Jeff Nelson","- - -","48","45","33","798","0","784.2","9.51","4.91","0.63",".285","76.0 %","34.1 %","8.2 %","3.41","3.73","4.35","9.3","1092"
"Jon Matlack","Rangers","28","32","2","123","86","645.0","4.69","2.34","0.77",".302","70.0 %","","","3.89","3.60","","9.3","1008246"
"Daniel Hudson","- - -","49","35","17","379","61","692.2","8.00","2.90","0.92",".291","71.0 %","39.7 %","8.9 %","3.83","3.75","4.10","9.3","7146"
"Sean Marshall","- - -","37","46","16","396","59","615.1","7.85","3.23","0.88",".297","72.9 %","49.7 %","10.6 %","3.86","3.84","3.78","9.2","5905"
"Brian Holman","- - -","37","45","0","109","99","676.2","5.21","3.38","0.63",".291","73.4 %","","","3.71","3.78","","9.2","1005969"
"Jimmy Haynes","- - -","63","89","1","227","203","1200.2","5.71","4.50","1.11",".312","68.0 %","45.2 %","11.9 %","5.37","5.00","4.77","9.2","329"
"Chris Tillman","Orioles","74","60","0","210","205","1145.0","6.66","3.43","1.29",".285","72.2 %","40.0 %","11.9 %","4.57","4.72","4.58","9.2","5279"
"Mark Leiter","- - -","65","73","26","335","149","1184.1","6.78","3.22","1.18",".291","69.9 %","","","4.57","4.50","","9.1","1007501"
"Doc Medich","- - -","46","39","0","114","102","682.1","3.79","3.05","0.55",".289","68.8 %","","","4.10","3.74","","9.1","1008714"
"Charlie Lea","- - -","62","48","0","152","144","923.1","5.21","3.32","0.77",".270","73.2 %","","","3.54","3.84","","9.1","1007423"
"Mike Torrez","- - -","55","63","0","175","163","1025.0","4.14","4.00","0.76",".298","68.4 %","","","4.68","4.28","","9.0","1013134"
"Luke Hochevar","Royals","46","65","3","279","128","929.1","6.80","2.90","1.12",".296","65.6 %","46.1 %","11.5 %","4.98","4.31","4.16","9.0","6943"
"Greg Harris","- - -","45","64","16","242","108","909.1","5.99","3.00","1.02",".275","71.6 %","","","3.98","4.12","","9.0","1005416"
"Gene Garber","- - -","49","73","133","553","0","824.2","5.48","2.55","0.65",".290","71.1 %","","","3.42","3.39","","9.0","1004493"
"Mike Caldwell","Brewers","75","63","1","181","171","1217.1","2.74","1.94","1.04",".280","71.8 %","","","4.01","4.29","","9.0","1001830"
"Tom Underwood","- - -","46","44","15","240","96","867.0","5.17","3.61","0.79",".270","72.3 %","","","3.65","3.99","","8.9","1013281"
"Steve Karsay","- - -","32","39","41","357","40","603.1","6.83","2.97","0.88",".309","73.4 %","53.3 %","15.0 %","4.01","3.93","3.77","8.9","829"
"Paul Splittorff","Royals","58","54","0","159","141","889.0","3.21","2.65","0.81",".283","67.7 %","","","4.24","4.10","","8.9","1012346"
"Chris Holt","- - -","28","51","1","133","112","736.2","5.20","3.09","0.84",".319","68.4 %","","","4.76","4.33","","8.9","1005983"
"Jason Marquis","- - -","124","118","1","377","318","1968.1","5.37","3.52","1.16",".288","70.6 %","50.6 %","12.9 %","4.61","4.87","4.57","8.8","105"
"Neal Heaton","- - -","80","96","10","382","202","1507.0","4.17","3.13","0.97",".282","70.0 %","","","4.37","4.36","","8.8","1005568"
"Steve Renko","- - -","45","39","2","137","105","715.2","4.70","2.99","0.91",".287","71.9 %","","","4.14","4.00","","8.8","1010835"
"Luke Gregerson","- - -","35","36","66","646","0","617.1","9.05","2.58","0.79",".272","73.9 %","51.0 %","10.5 %","3.15","3.18","3.21","8.8","4090"
"Joe Saunders","- - -","89","86","0","235","229","1387.1","5.14","2.85","1.16",".299","71.7 %","46.0 %","11.2 %","4.37","4.65","4.48","8.8","4366"
"Randy Tomlin","Pirates","30","31","0","106","94","580.1","4.61","2.06","0.57",".289","71.2 %","","","3.43","3.44","","8.8","1013111"
"Mike Norris","Athletics","51","42","0","143","118","885.1","5.25","3.75","0.83",".245","72.0 %","","","3.70","4.13","","8.8","1009637"
"Steve Woodard","- - -","32","36","0","162","94","667.1","6.26","2.01","1.21",".320","67.6 %","43.4 %","17.5 %","4.94","4.29","4.50","8.8","1285"
"Juan Nicasio","- - -","40","46","9","362","82","719.0","8.35","3.23","1.03",".324","69.7 %","44.1 %","11.4 %","4.64","3.91","3.91","8.8","7731"
"Roger Pavlik","Rangers","47","39","1","131","125","743.0","6.37","4.25","1.03",".291","72.1 %","","","4.58","4.65","","8.7","1010087"
"Travis Wood","- - -","47","59","4","298","147","994.0","7.25","3.35","1.09",".281","70.6 %","33.8 %","9.3 %","4.26","4.28","4.53","8.7","9884"
"Juan Berenguer","- - -","67","60","32","485","92","1192.1","7.30","4.48","0.87",".265","72.8 %","","","3.85","3.96","","8.7","1000865"
"Paul Wilson","- - -","40","58","0","170","153","941.2","5.92","3.21","1.20",".299","69.3 %","41.9 %","12.7 %","4.86","4.73","4.67","8.7","1234"
"Ricky Romero","Blue Jays","51","45","0","129","127","801.1","6.99","3.98","0.92",".293","72.6 %","54.3 %","12.5 %","4.16","4.34","4.08","8.7","3403"
"Roberto Osuna","- - -","14","18","154","310","0","310.2","9.99","1.59","0.81",".258","76.2 %","38.6 %","8.6 %","2.75","2.77","3.37","8.7","13764"
"Roberto Hernandez","- - -","71","99","1","270","219","1358.1","5.52","3.35","0.97",".292","68.8 %","56.3 %","12.5 %","4.60","4.59","4.31","8.6","3273"
"Steve Farr","- - -","48","45","132","509","28","824.1","7.29","3.65","0.76",".286","77.5 %","","","3.25","3.63","","8.6","1003953"
"Armando Reynoso","- - -","68","62","1","198","186","1079.2","4.62","3.13","1.15",".293","70.5 %","33.3 %","0.0 %","4.73","4.94","4.02","8.6","72"
"Dave Smith","- - -","53","53","216","609","1","809.1","6.09","3.15","0.38",".269","75.5 %","","","2.67","3.04","","8.6","1012117"
"Fernando Rodney","- - -","48","71","327","951","0","933.0","9.10","4.48","0.70",".294","73.1 %","50.1 %","9.6 %","3.80","3.77","3.93","8.6","494"
"Rolando Arrojo","- - -","40","42","6","158","105","700.0","6.58","3.28","1.07",".298","71.7 %","46.7 %","8.0 %","4.55","4.56","4.41","8.6","174"
"Mark Wohlers","- - -","39","29","119","533","0","553.1","9.06","4.42","0.60",".298","69.4 %","54.4 %","10.0 %","3.97","3.46","4.06","8.6","414"
"Anthony DeSclafani","- - -","36","37","0","116","108","622.2","8.05","2.44","1.30",".299","72.8 %","42.7 %","13.7 %","4.13","4.15","4.03","8.5","13050"
"Steve Cishek","- - -","32","37","132","572","0","556.0","9.45","3.42","0.60",".273","78.3 %","49.5 %","8.0 %","2.69","3.22","3.64","8.5","6483"
"Eric King","- - -","52","45","16","203","113","863.1","4.78","3.47","0.76",".265","71.7 %","","","3.97","4.11","","8.5","1006929"
"Dave Goltz","- - -","31","43","5","142","84","652.1","4.83","3.06","0.72",".313","69.2 %","","","4.39","3.72","","8.5","1004818"
"Mike Maddux","- - -","39","37","20","472","49","861.2","5.89","2.97","0.70",".294","69.5 %","","","4.05","3.76","","8.5","1007951"
"Steve Ontiveros","- - -","34","31","19","207","73","661.2","5.20","2.82","0.82",".267","70.6 %","","","3.67","3.96","","8.5","1009826"
"Jose Valverde","- - -","27","33","288","626","0","630.1","9.88","3.77","0.96",".265","76.5 %","39.1 %","9.7 %","3.27","3.66","3.76","8.5","1726"
"Dave Mlicki","- - -","66","80","1","262","193","1232.2","6.09","3.45","1.25",".296","71.2 %","40.8 %","10.5 %","4.72","4.84","4.62","8.4","569"
"Jim Deshaies","- - -","84","95","0","257","253","1525.0","5.61","3.39","1.06",".267","72.4 %","","","4.14","4.32","","8.4","1003228"
"Daisuke Matsuzaka","- - -","56","43","1","158","132","790.1","8.20","4.41","0.97",".288","72.2 %","36.5 %","8.5 %","4.45","4.35","4.57","8.4","7775"
"Darren O'Day","- - -","36","19","21","585","0","560.1","9.28","2.46","0.93",".256","83.5 %","39.7 %","9.9 %","2.55","3.45","3.59","8.4","3321"
"Ken Howell","- - -","38","48","31","245","54","613.1","8.06","4.04","0.67",".286","69.3 %","","","3.95","3.35","","8.4","1006100"
"Bruce Chen","- - -","82","81","1","400","227","1532.0","6.70","3.21","1.51",".285","73.0 %","33.8 %","11.5 %","4.62","4.92","4.71","8.4","769"
"Tim Worrell","- - -","48","59","71","678","49","973.2","7.01","3.38","0.99",".288","72.0 %","42.1 %","9.9 %","3.97","4.16","4.15","8.4","1139"
"Matt Moore","- - -","54","56","0","181","151","894.2","8.11","3.71","1.15",".300","71.6 %","38.5 %","10.4 %","4.51","4.32","4.61","8.4","1890"
"Drew Smyly","- - -","35","34","3","181","106","684.1","8.84","2.84","1.43",".291","74.6 %","35.8 %","12.7 %","4.16","4.23","4.11","8.4","11760"
"Bruce Kison","- - -","47","32","6","158","91","715.2","5.57","2.99","0.92",".274","72.9 %","","","3.85","3.91","","8.3","1006978"
"Rick Waits","- - -","44","59","4","203","112","866.1","4.17","3.51","0.79",".303","68.3 %","","","4.71","4.13","","8.3","1013494"
"Mike Remlinger","- - -","53","55","20","639","59","879.0","8.74","4.40","1.05",".285","75.7 %","40.0 %","10.9 %","3.90","4.23","3.90","8.3","111"
"Ted Power","- - -","68","69","70","564","85","1160.0","5.44","3.51","0.75",".286","71.0 %","","","4.00","3.89","","8.3","1010504"
"Shane Bieber","Indians","26","13","0","54","52","329.0","10.31","1.72","1.20",".319","74.1 %","45.0 %","14.7 %","3.72","3.29","3.26","8.3","19427"
"Doug Brocail","- - -","52","48","9","626","42","880.0","6.57","3.17","0.87",".294","71.5 %","46.0 %","7.5 %","4.00","4.07","4.28","8.3","551"
"Bob Howry","- - -","45","52","66","769","0","787.2","7.46","2.89","1.06",".278","73.3 %","34.5 %","8.4 %","3.84","4.05","4.32","8.3","237"
"Kevin Ritz","- - -","45","56","2","151","130","753.1","5.52","4.50","0.82",".314","66.5 %","","","5.35","4.64","","8.3","1010998"
"Mark Guthrie","- - -","51","54","14","765","43","978.2","7.15","3.50","0.93",".303","72.2 %","52.3 %","12.3 %","4.05","3.98","4.13","8.2","876"
"Ian Snell","- - -","38","53","0","152","136","803.2","7.16","4.17","1.12",".315","71.6 %","40.7 %","10.6 %","4.80","4.62","4.55","8.2","2227"
"Takashi Saito","- - -","21","15","84","338","0","338.0","10.65","2.88","0.67",".276","81.0 %","40.5 %","6.9 %","2.34","2.81","3.26","8.2","6021"
"Kris Medlen","- - -","41","26","1","174","76","599.1","7.45","2.45","0.75",".296","73.7 %","46.6 %","9.0 %","3.33","3.40","3.60","8.2","9417"
"Darren Holmes","- - -","35","33","59","557","6","680.0","7.69","3.39","0.83",".315","70.9 %","38.1 %","7.7 %","4.25","3.73","3.37","8.2","95"
"Matt Harrison","Rangers","50","35","2","135","103","668.1","5.49","3.15","0.97",".295","72.1 %","46.6 %","10.3 %","4.21","4.35","4.35","8.2","5551"
"Hipolito Pichardo","- - -","50","44","20","350","68","769.2","4.61","3.36","0.63",".301","67.8 %","50.0 %","0.0 %","4.44","4.18","20.96","8.2","1472"
"Michael Fulmer","Tigers","24","31","0","75","75","456.0","7.03","2.53","0.95",".276","70.9 %","47.7 %","11.4 %","3.81","3.95","4.15","8.2","13218"
"Jair Jurrjens","- - -","53","38","0","130","128","767.1","6.03","3.10","0.82",".289","73.9 %","43.7 %","8.1 %","3.72","4.04","4.31","8.2","5556"
"Felipe Vazquez","- - -","17","13","89","323","0","330.2","10.94","2.75","0.60",".287","77.0 %","46.7 %","8.4 %","2.61","2.66","3.14","8.2","12076"
"Dallas Braden","Athletics","26","36","0","94","79","491.1","5.59","2.58","0.82",".295","69.1 %","38.5 %","6.7 %","4.16","3.99","4.53","8.2","8099"
"Tyler Clippard","- - -","53","46","68","751","12","816.0","9.98","3.58","1.17",".239","80.3 %","28.1 %","9.3 %","3.14","3.88","4.22","8.1","5640"
"Jimmy Nelson","Brewers","33","46","0","119","107","633.1","8.21","3.41","0.98",".310","71.2 %","49.2 %","12.5 %","4.22","4.11","4.07","8.1","10547"
"Scott Downs","- - -","38","40","27","619","50","751.1","6.89","3.34","0.80",".292","74.6 %","58.3 %","11.6 %","3.56","3.95","3.68","8.1","773"
"Gary Lavelle","- - -","44","48","82","465","3","659.2","6.54","3.40","0.46",".285","73.5 %","","","3.08","3.11","","8.0","1007389"
"Luis Castillo","Reds","28","27","0","78","78","449.2","9.79","3.20","1.22",".267","75.2 %","52.0 %","17.8 %","3.68","3.94","3.55","8.0","15689"
"Liam Hendriks","- - -","16","26","26","320","44","491.0","8.96","2.42","1.04",".325","69.9 %","39.9 %","10.4 %","4.22","3.56","3.82","8.0","3548"
"Kevin Correia","- - -","76","98","0","358","221","1428.2","5.71","2.99","1.13",".300","70.6 %","44.1 %","10.8 %","4.62","4.53","4.44","8.0","1767"
"Matthew Boyd","- - -","31","47","0","122","118","645.1","8.81","2.83","1.65",".297","70.9 %","34.5 %","13.8 %","4.92","4.66","4.59","8.0","15440"
"Kent Mercker","- - -","74","67","25","692","150","1325.1","6.23","4.12","1.05",".282","73.4 %","37.9 %","12.1 %","4.16","4.63","4.61","8.0","439"
"Walker Buehler","Dodgers","23","9","0","62","53","329.0","10.34","2.24","0.93",".276","73.8 %","46.4 %","12.3 %","3.12","3.10","3.32","7.9","19374"
"Matt Shoemaker","- - -","43","32","0","106","98","573.2","8.06","2.17","1.21",".289","75.2 %","40.5 %","11.7 %","3.81","3.93","3.96","7.9","4776"
"Andy Hawkins","- - -","84","91","0","280","249","1558.1","4.08","3.53","0.88",".273","70.1 %","","","4.22","4.38","","7.9","1005514"
"Brian Bohanon","- - -","54","60","2","304","157","1116.0","5.41","3.94","1.15",".299","67.8 %","","","5.19","4.99","","7.9","1001126"
"Jeff D'Amico","- - -","45","52","0","139","131","784.0","5.72","2.54","1.38",".284","69.3 %","37.3 %","10.2 %","4.61","4.74","4.53","7.9","871"
"Tommy Hanson","- - -","49","35","0","123","121","708.0","8.24","3.17","0.99",".292","74.0 %","39.5 %","9.4 %","3.80","3.86","3.97","7.9","9129"
"Chris Haney","- - -","38","52","1","196","125","824.2","4.82","3.12","1.03",".299","65.9 %","51.9 %","6.1 %","5.07","4.61","4.89","7.9","192"
"Carlos Perez","- - -","40","53","0","142","127","822.2","4.90","2.31","1.18",".291","69.6 %","","","4.44","4.61","","7.9","1010179"
"Dan Spillner","- - -","48","47","40","328","59","866.1","5.03","3.42","0.81",".289","70.5 %","","","4.23","3.94","","7.8","1012342"
"Daniel Cabrera","- - -","48","65","1","162","155","892.1","6.80","5.24","0.93",".293","68.5 %","47.2 %","9.8 %","5.10","4.89","4.97","7.8","1931"
"Don Aase","- - -","49","50","82","406","49","838.1","5.36","3.84","0.74",".281","73.9 %","","","3.82","3.91","","7.8","1000003"
"Jim Palmer","Orioles","53","36","1","134","123","828.1","3.82","2.85","0.95",".259","72.9 %","","","3.72","4.21","","7.8","1009973"
"Mike Foltynewicz","- - -","44","41","0","137","117","682.2","8.60","3.10","1.29",".297","73.1 %","38.9 %","12.6 %","4.27","4.27","4.33","7.8","10811"
"Zach Davies","Brewers","43","32","0","111","111","614.1","6.36","2.64","1.03",".291","73.1 %","46.4 %","11.8 %","3.91","4.22","4.46","7.8","13183"
"Bobby Jenks","- - -","16","20","173","348","0","357.1","8.84","3.10","0.65",".301","73.1 %","53.6 %","9.4 %","3.53","3.21","3.27","7.8","8645"
"Clayton Richard","- - -","69","84","1","275","210","1284.2","5.77","3.07","1.04",".305","69.9 %","53.6 %","13.5 %","4.51","4.45","4.19","7.7","3551"
"Kevin Slowey","- - -","43","36","0","137","106","662.0","6.73","1.51","1.35",".317","71.6 %","31.8 %","9.8 %","4.62","4.16","4.18","7.7","9918"
"Scott Williamson","- - -","28","28","55","344","10","439.1","10.45","5.00","0.72",".274","75.5 %","40.8 %","8.9 %","3.36","3.56","3.81","7.7","361"
"Damaso Marte","- - -","23","27","36","570","0","503.2","9.52","4.09","0.86",".278","76.1 %","36.1 %","8.2 %","3.48","3.72","3.93","7.7","247"
"Brian Fuentes","- - -","26","43","204","650","0","613.1","9.38","3.79","0.94",".280","75.9 %","34.1 %","8.7 %","3.62","3.87","4.07","7.7","429"
"Craig Lefferts","- - -","58","72","101","696","45","1145.2","5.65","2.53","0.94",".276","74.7 %","","","3.43","3.79","","7.7","1007476"
"Glen Perkins","Twins","35","25","120","409","44","624.1","7.27","2.28","1.07",".305","74.2 %","40.6 %","9.9 %","3.88","3.90","3.96","7.7","8041"
"Miguel Gonzalez","- - -","52","57","0","155","148","883.2","6.28","2.91","1.25",".280","75.1 %","38.1 %","11.0 %","4.06","4.63","4.72","7.7","7024"
"Scott Sanders","- - -","34","45","5","234","88","681.2","8.34","3.64","1.23",".296","67.8 %","","","4.86","4.32","","7.6","1011423"
