"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Matt Daley","- - -","2","3","0","112","0","100.2","8.76","3.22","1.16",".286","70.2 %","33.0 %","9.2 %","4.47","4.10","4.21","0.7","7952"
"Pat Misch","- - -","4","15","0","78","24","200.2","5.20","2.56","1.26",".298","70.5 %","44.7 %","11.5 %","4.80","4.77","4.52","0.7","5909"
"Jake Petricka","- - -","10","12","16","228","0","231.2","6.80","3.77","0.70",".331","75.1 %","59.1 %","12.0 %","3.96","4.02","4.00","0.7","10534"
"Jensen Lewis","Indians","7","11","14","161","0","198.0","8.05","3.86","1.05",".286","78.0 %","34.5 %","9.2 %","3.68","4.26","4.38","0.7","3384"
"Fernando Romero","Twins","3","4","0","26","11","69.2","8.14","3.88","1.03",".338","69.9 %","47.4 %","11.9 %","5.17","4.49","4.65","0.7","15885"
"Jacob Waguespack","Blue Jays","5","5","0","16","13","78.0","7.27","3.35","1.38",".279","71.6 %","40.3 %","13.3 %","4.38","4.91","5.20","0.7","18318"
"Alberto Arias","- - -","4","2","0","63","2","74.2","6.63","4.10","0.36",".326","73.9 %","63.0 %","6.1 %","3.74","3.86","4.19","0.7","3087"
"Rob Wooten","Brewers","4","5","0","71","0","68.0","7.01","2.91","0.40",".336","64.4 %","48.1 %","4.6 %","5.03","3.22","3.90","0.7","8532"
"Jharel Cotton","Athletics","11","10","0","29","29","158.1","7.28","3.24","1.82",".265","66.8 %","37.1 %","14.3 %","4.95","5.32","5.18","0.6","13654"
"German Jimenez","Braves","1","6","0","15","9","55.2","4.20","1.94","0.65",".308","53.9 %","","","5.01","3.47","","0.6","1006410"
"Dave Rucker","- - -","16","20","1","206","10","319.2","4.79","4.14","0.53",".299","70.5 %","","","3.94","3.90","","0.6","1011279"
"Trey Wingenter","Padres","1","3","1","73","1","70.0","12.73","5.01","1.03",".265","64.4 %","35.7 %","12.7 %","5.14","3.79","4.00","0.6","17793"
"Reid Cornelius","- - -","8","17","0","45","33","211.0","4.31","3.63","1.28",".280","69.9 %","","","4.91","5.32","","0.6","1002634"
