year,name,reason,player_id,player_name,lg,tm,first,last,use,b_p,c,1b,2b,3b,ss,lf,cf,rf
2021,Isiah Kiner,No player found,,,AL,TE,Isiah,Kiner-Falefa,REG,BAT,,,,,2,,,
2021,Nate Lowe,No player found,,,AL,TE,Nate,Lowe,REG,BAT,,4,,5,,,,
2021,Jared Hoying,No player found,,,AL,TO,Jared,Hoying,COMP,BAT,,,,,,4,,
2021,Henry Ramos,No MLB PlayerStatSeason found for 2021,34758,Henry Ramos,NL,AR,Henry,Ramos,COMP,BAT,,,,,,4,,4
2021,Matt Duffy,No MLB PlayerStatSeason found for 2021,36823,Matt Duffy,NL,CC,Matt,Duffy,REG,BAT,,4,3,2,4,4,,
2021,Tyler Ladendorf,No player found,,,NL,CC,Tyler,Ladendorf,COMP,BAT,,,,,,,,
2021,Nick Castellanos,No player found,,,NL,CN,Nick,Castellanos,REG,BAT,,,,,,,,4(B3)
2021,Jose Devers,No MLB PlayerStatSeason found for 2021,35476,Jose Devers,NL,MI,Jose,Devers,COMP,BAT,,,3,,4,,,
2021,Hunter Owen,No MLB PlayerStatSeason found for 2021,36956,Hunter Owen,NL,PI,Hunter,Owen,COMP,BAT,,,,,,,,4
2021,Hoy Park,No player found,,,NL,PI,Hoy,Park-2,COMP,BAT,,,3,4,4,4,4,4
2021,Juan Soto,No MLB PlayerStatSeason found for 2021,25780,Juan Soto,NL,WN,Juan,Soto,REG,BAT,,,,,,,,3
2022,Richie Palacios,No player found,,,,CI,Richie,Palacios,REG,BAT,,,5,,,4,,
2022,Jose Ramirez,No MLB PlayerStatSeason found for 2022,38959,Jose Ramirez,,CI,Jose,Ramirez,REG,BAT,,,,2,,,,
2022,Jake Meyers,No MLB PlayerStatSeason found for 2022,26814,Jake Meyer,,HA,Jake,Meyers,ADD,BAT,,,,,,,2,
2022,Jeremy Pena,No MLB PlayerStatSeason found for 2022,38536,Jeremy Pena,,HA,Jeremy,Pena,REG,BAT,,,,,1(B2),,,
2022,Nate Eaton,No player found,,,,KR,Nate,Eaton,REG,BAT,,,,4,,3,3(B2),3(B2)
2022,Michael Massey,No MLB PlayerStatSeason found for 2022,39297,Michael Massey,,KR,Michael,Massey,REG,BAT,,,3,4,,,,
2022,Matt Duffy,No MLB PlayerStatSeason found for 2022,36823,Matt Duffy,,LA,Matt,Duffy,REG,BAT,,3,3,3,,,,
2022,Jose Rojas,No MLB PlayerStatSeason found for 2022,38197,Jose Rojas,,LA,Jose,Rojas,COMP,BAT,,,,5,,5,,5
2022,Isiah Kiner,No player found,,,,NY,Isiah,Kiner-Falefa,REG,BAT,,,,3,2,,,
2022,Julio Rodriguez,No MLB PlayerStatSeason found for 2022,30383,Julio Rodriguez,,SM,Julio,Rodriguez,REG,BAT,,,,,,,2,
2022,C. Bethancourt,No player found,,,,TB,C.,Bethancourt,REG,BAT,4,4,,,,,,
2022,Josh Smith,No MLB PlayerStatSeason found for 2022,28660,Josh Smith,,TE,Josh,Smith,REG,BAT,,,4,4(B3),4,4,,
2022,Jackson Frazier,No player found,,,,CC,Jackson,Frazier,COMP,BAT,,,,,,4,,4
2022,Miguel Vargas,No MLB PlayerStatSeason found for 2022,25891,Miguel Vargas,,LD,Miguel,Vargas,COMP,BAT,,4,,4,,4,,
2022,Nick Castellanos,No player found,,,,PH,Nick,Castellanos,REG,BAT,,,,,,5(B4),,4(B3)
2022,Hoy Park,No player found,,,,PI,Hoy,Park,COMP,BAT,,,3,4,4,,,4
2022,Canaan Smith,No player found,,,,PI,Canaan,Smith-Njigba,COMP,BAT,,,,,,4,,
2022,Juan Soto,No MLB PlayerStatSeason found for 2022,25780,Juan Soto,,SD,Juan,Soto,REG,BAT,,,,,,,,3
2022,Luis Gonzalez,No MLB PlayerStatSeason found for 2022,37736,Luis Gonzalez,,SF,Luis,Gonzalez,REG,BAT,,,,,,4,4,4(B3)
2022,Cesar Hernandez,No MLB PlayerStatSeason found for 2022,37050,Cesar Hernandez,,WN,Cesar,Hernandez,REG,BAT,,,4(B3),4,,4,,
2022,Dee Strange,No player found,,,,WN,Dee,Strange-Gordon,ADD,BAT,,,,,4,4,4,
2023,Jose Ramirez,No MLB PlayerStatSeason found for 2023,38959,Jose Ramirez,,CI,Jose,Ramirez,REG,BAT,,,,2,,,,
2023,Jeremy Pena,No MLB PlayerStatSeason found for 2023,38536,Jeremy Pena,,HA,Jeremy,Pena,REG,BAT,,,,,1,,,
2023,Matt Duffy,No MLB PlayerStatSeason found for 2023,36823,Matt Duffy,,KR,Matt,Duffy,REG,BAT,,3,3(B4),3,,,,
2023,Nate Eaton,No player found,,,,KR,Nate,Eaton,COMP,BAT,,,,4,,2,4,3
2023,Michael Massey,No MLB PlayerStatSeason found for 2023,39297,Michael Massey,,KR,Michael,Massey,REG,BAT,,,3(B2),,,,,
2023,Isiah Kiner,No player found,,,,NY,Isiah,Kiner-Falefa,REG,BAT,,,3,2,3,3,4,4
2023,Julio Rodriguez,No MLB PlayerStatSeason found for 2023,30383,Julio Rodriguez,,SM,Julio,Rodriguez,REG,BAT,,,,,,,1,
2023,Cam Eden,No player found,,,,TO,Cam,Eden,COMP,BAT,,,,,,4,,
2023,Pete Crow,No player found,,,,CC,Pete,Crow-Armstrong,COMP,BAT,,,,,,,2,
2023,Henry Ramos,No MLB PlayerStatSeason found for 2023,34758,Henry Ramos,,CN,Henry,Ramos,ADD,BAT,,,,,,4,,4
