"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Pedro Villarreal","CIN","1","6","0","44","1","71.1","5.80","2.78","1.39",".307","74.2%","39.2%","12.5%","93.0","4.29","","4.93","4.68","-0.4","9904","543881"
"Mark Clark","TEX","3","5","0","12","8","44.0","3.27","4.91","2.05",".335","64.6%","","","","7.98","","7.20","","-0.4","1002296","112332"
"Tanner Rainey","- - -","5","10","15","198","0","189.1","11.22","5.94","1.57",".278","70.9%","33.5%","14.2%","96.4","5.23","","5.12","4.88","-0.4","17610","663432"
"Joel Carreno","TOR","1","2","0","22","2","37.2","7.17","4.30","1.91",".250","85.4%","43.8%","19.0%","92.0","4.06","","5.67","4.46","-0.4","2746","468528"
"Randy Rosario","- - -","6","1","1","69","0","66.2","6.62","4.05","1.22",".321","69.2%","54.2%","18.0%","93.6","5.00","","4.90","4.44","-0.4","14508","600968"
"Matt DeWitt","- - -","1","3","0","29","0","40.0","5.40","4.95","1.57",".318","79.1%","31.8%","10.0%","","4.95","","6.01","4.72","-0.4","1028","150451"
"Phillippe Aumont","PHI","1","6","2","46","1","43.2","8.66","7.01","1.03",".361","66.7%","56.3%","15.2%","95.4","6.80","","5.26","4.81","-0.4","5362","518418"
"Pedro Figueroa","- - -","2","1","0","34","0","33.2","5.35","5.61","1.34",".267","72.9%","45.7%","13.2%","96.0","4.28","","5.89","5.54","-0.4","6616","471896"
"Jeff Austin","- - -","2","3","0","38","7","65.1","7.58","5.65","1.79",".293","65.7%","27.6%","13.8%","","6.75","","5.86","6.04","-0.4","587","406953"
"Julio Manon","- - -","1","3","1","45","0","48.1","6.89","6.14","1.49",".279","79.9%","32.5%","10.1%","","4.66","","5.93","6.13","-0.4","1732","408249"
"Dennis Tankersley","SDP","1","10","0","27","16","86.1","7.09","6.36","1.36",".323","59.3%","42.4%","13.5%","","7.61","","5.74","5.36","-0.4","1054","407807"
"Frank Rodriguez","- - -","2","1","0","30","0","56.0","4.50","4.34","1.45",".340","64.2%","","","","7.07","","5.66","","-0.4","1011106","121355"
"John Foster","- - -","7","2","1","90","0","60.2","8.01","4.90","1.63",".297","78.0%","42.9%","18.0%","","4.90","","5.43","4.49","-0.4","86","407796"
"Scott Forster","MON","0","1","0","42","0","32.0","6.47","7.03","1.41",".232","50.0%","","","","7.88","","6.26","","-0.4","1004235","327692"
"Michael Mariot","- - -","2","0","2","45","0","52.1","8.08","4.99","1.55",".301","65.8%","34.0%","12.7%","93.3","5.85","","5.25","4.98","-0.4","10835","592527"
"Allen Levrault","- - -","7","11","0","56","21","170.2","5.80","4.27","1.58",".299","71.0%","29.5%","6.8%","","5.59","","5.61","5.54","-0.4","925","276368"
"Justin Garza","- - -","2","3","0","38","1","47.0","8.81","5.74","1.53",".306","68.3%","35.7%","14.5%","94.9","5.74","","5.44","5.23","-0.4","19784","621057"
"Ethan Martin","PHI","2","5","0","17","8","44.0","10.43","5.93","2.05",".284","74.6%","29.3%","16.7%","94.1","5.93","","5.74","4.63","-0.4","3877","543495"
"Donovan Hand","- - -","1","5","0","32","7","71.1","5.05","2.78","1.26",".285","82.8%","47.4%","13.5%","90.6","3.53","","4.93","4.53","-0.4","8728","518764"
"Renyel Pinto","FLA","8","10","2","244","0","231.0","8.65","5.92","0.94",".270","79.1%","42.4%","9.6%","91.2","3.62","","4.73","4.78","-0.4","2180","430594"
"Ryan Meisinger","- - -","2","1","0","27","1","31.0","8.71","5.52","2.32",".275","64.4%","37.6%","22.2%","91.4","7.26","","6.52","5.13","-0.4","18105","664682"
"Daniel Webb","CHW","7","5","0","94","0","110.0","7.61","5.65","0.74",".315","71.6%","51.4%","9.5%","96.0","4.50","","4.46","4.54","-0.4","10558","543900"
"Deck McGuire","- - -","1","3","0","27","6","51.2","7.66","4.88","1.74",".262","70.6%","34.2%","14.7%","93.3","5.23","","5.95","5.67","-0.4","11596","592547"
"Pedro Hernandez","- - -","3","5","0","16","14","66.1","4.48","3.53","1.76",".356","66.5%","41.5%","13.7%","89.2","7.33","","5.83","5.25","-0.4","4578","517060"
"Oswaldo Mairena","- - -","2","3","0","33","0","35.2","5.30","3.53","2.02",".311","71.1%","38.7%","15.6%","","6.06","","5.89","4.64","-0.4","528","342192"
"Mike Fetters","- - -","12","8","15","198","0","177.0","7.37","5.24","1.02",".277","69.8%","54.2%","9.1%","","4.58","","4.81","4.60","-0.4","988","114097"
"Mike Wood","- - -","16","22","2","115","39","344.0","4.79","3.27","1.41",".310","67.4%","51.5%","14.7%","84.4","5.49","","5.39","4.83","-0.4","1806","430061"
"Jordan Leasure","CHW","0","2","2","33","0","31.1","7.47","5.17","1.72",".286","68.1%","35.8%","13.6%","96.3","6.32","","5.82","5.45","-0.4","29950","673929"
"Adrian Martinez","OAK","4","8","0","34","13","112.2","7.99","3.04","1.68",".321","69.8%","39.8%","16.7%","","5.51","","5.05","4.38","-0.4","21023","661309"
"Tim Harikkala","- - -","6","6","0","64","1","78.2","4.46","3.20","1.49",".262","69.4%","43.9%","12.5%","","5.15","","5.32","5.07","-0.4","1909","115475"
"Andrew Carpenter","- - -","1","1","0","23","1","33.1","8.91","4.86","2.43",".347","68.8%","36.6%","20.9%","","7.56","","6.30","4.52","-0.4","9533","502165"
"Brandon Gomes","TBR","11","12","1","173","0","167.0","7.76","3.29","1.29",".268","72.7%","32.7%","10.1%","91.7","4.20","","4.44","4.52","-0.4","2267","460156"
"Shane Nance","- - -","1","3","0","49","0","43.0","8.16","5.44","1.67",".358","75.2%","39.6%","15.1%","","5.02","","5.72","5.09","-0.4","1584","424585"
"Chuck McElroy","- - -","5","3","0","92","7","138.1","6.31","5.20","1.30",".290","70.0%","","","","5.01","","5.39","","-0.4","1008477","118660"
"Joey Krehbiel","- - -","6","5","1","70","0","74.0","6.93","3.28","1.34",".237","76.7%","42.8%","12.9%","94.7","3.65","","4.74","4.56","-0.4","13707","607216"
