"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Maikel Garcia","KCR","132","538","4","60","52","23","7.2%","22.3%",".084",".347",".274",".324",".358",".299","","85","-1.0","-10.9","12.5","2.0","22715","672580"
"Chris Duffy","- - -","212","791","6","102","52","41","6.4%","18.7%",".090",".321",".262",".323",".352",".302","","78","9.9","-12.4","6.3","2.0","3605","434659"
"Matt Wallner","MIN","94","319","16","46","51","3","10.7%","32.9%",".237",".336",".244",".361",".481",".364","","135","2.0","15.5","-6.6","2.0","26466","670242"
"Yainer Diaz","HOU","110","386","23","51","61","0","3.1%","19.7%",".253",".289",".278",".306",".532",".350","","125","-4.4","7.2","-0.6","2.0","23003","673237"
"Jeremy Reed","- - -","483","1376","12","141","110","20","7.3%","14.2%",".102",".289",".252",".309",".354",".294","","78","-0.5","-37.4","10.4","2.0","4730","430598"
"Mark Johnson","- - -","252","830","12","86","66","5","10.5%","15.8%",".094",".253",".220",".310",".314",".284","","65","3.1","-34.2","25.2","2.0","240","150322"
"Armando Rios","- - -","335","966","27","100","135","7","9.1%","17.5%",".166",".288",".257",".323",".422",".320","","91","-3.3","-13.7","1.9","1.9","1006","136608"
"A.J. Ellis","- - -","672","2303","44","194","229","2","12.2%","18.0%",".113",".280",".239",".340",".352",".309","","96","-21.9","-32.1","-20.0","1.9","5677","454560"
"Nick Hundley","- - -","974","3373","93","319","376","15","6.5%","24.0%",".158",".303",".247",".299",".405",".304","","88","-15.7","-63.3","-24.0","1.9","3376","460026"
"Dante Bichette","- - -","262","1051","35","125","139","7","6.6%","15.9%",".179",".319",".291",".340",".470",".348","","104","-0.3","5.0","-20.4","1.9","1000946","110974"
"Casey Kotchman","- - -","939","3412","71","322","388","14","7.8%","9.9%",".125",".271",".260",".326",".385",".313","","93","-34.5","-64.9","-30.7","1.9","1930","425773"
"Doug Glanville","- - -","612","2256","35","257","166","90","4.0%","12.1%",".097",".281",".259",".290",".356",".282","","64","12.8","-92.0","35.9","1.9","956","114844"
"Ruben Rivera","- - -","352","1010","33","122","109","19","8.6%","27.6%",".168",".279",".220",".302",".388",".303","","78","3.4","-25.2","11.0","1.9","1550","121252"
"Jeremy Hermida","- - -","632","2261","65","248","250","22","9.6%","22.9%",".158",".314",".257",".334",".415",".328","","96","-5.5","-14.8","-39.4","1.9","7208","435181"
"Einar Diaz","- - -","528","1766","16","170","160","10","4.0%","8.7%",".094",".265",".249",".297",".342",".284","","66","-7.7","-84.4","43.5","1.9","378","113330"
"Russ Johnson","- - -","252","701","7","84","65","12","11.1%","17.5%",".097",".311",".257",".344",".354",".316","","87","1.1","-11.3","6.0","1.9","1216","116641"
"Hernan Perez","- - -","651","1846","45","192","180","69","4.1%","21.5%",".132",".297",".250",".280",".382",".283","","72","8.6","-55.9","15.5","1.9","5751","541650"
"Kevin Newman","- - -","505","1916","23","189","171","38","5.4%","12.0%",".098",".285",".259",".304",".358",".287","","77","7.1","-49.1","3.0","1.9","17696","621028"
"Javier Vazquez","- - -","400","578","1","36","19","0","3.3%","13.8%",".032",".238",".200",".232",".232",".210","","18","-0.5","-60.3","60.8","1.9","801","134320"
"Anthony Volpe","NYY","159","601","21","62","60","24","8.7%","27.8%",".174",".259",".209",".283",".383",".290","","84","3.5","-7.8","6.2","1.9","27647","683011"
"Christian Villanueva","SDP","122","416","24","47","53","3","5.5%","27.4%",".230",".285",".245",".303",".475",".332","","110","-1.3","4.0","1.5","1.9","11738","570799"
"CJ Abrams","- - -","241","916","20","116","85","54","4.0%","18.3%",".137",".283",".246",".293",".383",".293","","84","11.2","-6.2","-6.0","1.9","25768","682928"
"Tyler Colvin","- - -","441","1316","49","164","178","14","5.9%","26.7%",".207",".294",".239",".287",".446",".315","","87","4.4","-14.4","-7.2","1.9","5310","502125"
"Augie Ojeda","- - -","502","1237","7","135","81","7","9.6%","9.3%",".078",".254",".234",".320",".313",".286","","65","3.9","-50.5","29.7","1.9","297","324432"
"Blake DeWitt","- - -","426","1247","21","118","135","7","8.6%","15.6%",".123",".292",".257",".324",".381",".308","","87","1.7","-17.2","-2.7","1.9","7485","455088"
"Dan Johnson","- - -","443","1625","57","179","203","1","13.2%","15.0%",".171",".242",".234",".335",".405",".326","","100","-4.8","-4.8","-31.4","1.9","2167","430681"
"Jason Tyner","- - -","440","1467","1","168","94","61","4.6%","9.3%",".049",".303",".275",".314",".323",".285","","69","12.1","-45.9","13.8","1.9","1232","150244"
"Jake Peavy","- - -","393","598","3","48","33","0","3.7%","27.6%",".054",".238",".168",".205",".222",".193","","15","-1.0","-64.5","64.1","1.9","1051","408241"
"Jason Kubel","- - -","1036","3883","140","442","564","12","9.1%","21.5%",".185",".304",".262",".330",".448",".336","","105","-19.8","6.3","-117.6","1.8","2161","430585"
"Oscar Mercado","- - -","298","973","26","123","100","29","6.2%","19.1%",".151",".270",".237",".289",".388",".291","","82","8.4","-13.0","-2.8","1.8","16375","640458"
"Anthony Gose","- - -","400","1252","12","155","69","57","8.1%","28.2%",".107",".339",".240",".309",".348",".292","","81","7.2","-20.0","-4.0","1.8","5097","543238"
"Jake Arrieta","- - -","289","426","6","25","27","0","3.8%","46.2%",".084",".318",".165",".201",".249",".198","","17","-0.2","-43.5","47.6","1.8","4153","453562"
"David Dahl","- - -","331","1249","43","169","161","17","6.1%","26.1%",".192",".339",".271",".317",".463",".329","","92","4.4","-7.3","-15.3","1.8","13744","621311"
"Mike Brosseau","- - -","244","647","26","69","77","7","7.4%","29.5%",".186",".313",".242",".313",".428",".320","","105","0.0","3.7","-6.9","1.8","19683","670712"
"Tyler Houston","- - -","341","1009","39","107","135","3","5.6%","21.3%",".183",".318",".274",".318",".456",".331","","97","0.0","-4.4","-10.1","1.8","689","116191"
"Nick Fortes","MIA","194","597","19","80","57","10","6.4%","18.8%",".138",".242",".220",".285",".358",".284","","77","-1.4","-18.3","15.5","1.8","21538","663743"
"Aaron Altherr","- - -","359","1156","37","142","151","21","9.5%","28.7%",".182",".285",".219",".308",".402",".307","","89","-2.2","-18.2","-1.9","1.8","11270","571437"
"Rafael Ortega","- - -","411","1284","22","136","109","47","9.8%","19.2%",".105",".296",".247",".324",".352",".300","","89","-0.5","-18.2","-7.1","1.8","10323","542364"
"Andres Galarraga","- - -","483","1631","67","184","253","7","7.1%","23.8%",".194",".339",".281",".349",".475",".354","","111","-12.2","11.9","-46.5","1.8","1390","114526"
"Tony Campana","- - -","257","477","1","70","16","66","5.7%","21.6%",".039",".323",".249",".296",".288",".263","","59","14.5","-8.1","10.6","1.8","4964","542999"
"Cody Ransom","- - -","383","858","30","111","105","6","10.3%","31.9%",".188",".290",".213",".303",".400",".310","","89","3.5","-8.0","-2.8","1.7","1126","285068"
"Stone Garrett","- - -","116","355","13","53","50","6","8.2%","30.7%",".206",".366",".271",".335",".477",".347","","119","0.4","8.7","-3.7","1.7","19273","656448"
"Zach McKinstry","- - -","269","882","21","101","78","24","7.9%","24.7%",".143",".276",".221",".288",".365",".286","","80","4.9","-16.5","3.5","1.7","19392","656716"
"John Ryan Murphy","- - -","284","737","18","69","61","0","5.8%","30.0%",".129",".287",".215",".262",".344",".264","","61","2.0","-33.2","25.1","1.7","10346","571974"
"Matt Vierling","- - -","285","964","18","115","82","15","7.4%","21.0%",".121",".317",".261",".320",".382",".307","","94","0.4","-6.0","-9.5","1.7","21558","663837"
"Marty Cordova","- - -","324","1215","43","144","155","5","7.9%","19.1%",".173",".305",".269",".335",".442",".338","","105","-5.4","0.9","-25.7","1.7","132","112682"
"Elly De La Cruz","CIN","98","427","13","67","44","35","8.2%","33.7%",".175",".336",".235",".300",".410",".305","","84","5.0","-3.3","5.9","1.7","26668","682829"
"Roman Quinn","- - -","222","599","8","78","45","43","8.0%","30.4%",".121",".328",".226",".303",".348",".288","","78","7.8","-9.1","7.2","1.7","13546","596451"
"Collin Cowgill","- - -","318","759","12","83","57","14","7.6%","26.0%",".096",".310",".234",".297",".329",".282","","79","2.6","-15.9","7.2","1.7","7250","518577"
"Jemile Weeks","- - -","260","1068","4","121","62","41","7.3%","14.5%",".097",".297",".254",".316",".352",".296","","86","4.1","-13.6","-6.1","1.7","2498","457789"
"Tim Locastro","- - -","290","616","9","100","38","45","5.8%","20.3%",".109",".281",".228",".327",".337",".299","","85","11.3","-0.4","-2.8","1.7","15124","641796"
"Travis Ishikawa","- - -","488","1050","23","114","137","3","8.1%","24.5%",".136",".325",".255",".321",".391",".312","","91","-2.9","-13.8","-2.2","1.7","4793","448170"
"Tony Wolters","- - -","407","1266","7","131","123","6","10.0%","20.1%",".079",".296",".235",".321",".314",".279","","56","-1.1","-71.5","45.8","1.7","11470","547172"
"Eli Whiteside","- - -","216","563","10","52","45","4","5.5%","24.5%",".117",".265",".210",".265",".327",".261","","61","-0.9","-26.7","25.5","1.7","3536","434630"
"Tom Glavine","- - -","291","631","0","31","28","0","7.3%","18.7%",".018",".213",".163",".234",".181",".199","","12","-0.1","-72.2","68.5","1.7","90","114849"
"Joe Girardi","- - -","290","942","10","89","79","2","7.6%","15.9%",".084",".295",".253",".312",".337",".287","","68","-2.7","-41.7","27.9","1.7","280","114833"
"Ronald Torreyes","- - -","352","982","11","99","98","7","4.4%","12.6%",".096",".294",".265",".299",".361",".286","","76","3.6","-25.9","9.3","1.7","11400","591720"
"Jay Buhner","SEA","131","483","28","54","87","0","13.9%","22.2%",".259",".268",".249",".359",".509",".371","","121","-0.9","13.0","-12.0","1.6","1001638","111676"
"D.J. Stewart","- - -","253","807","37","96","99","4","12.0%","27.6%",".205",".265",".220",".329",".425",".327","","106","1.5","7.1","-17.8","1.6","17766","621466"
"Mo Vaughn","- - -","327","1366","65","170","204","2","11.1%","25.5%",".208",".314",".261",".356",".469",".355","","112","-5.4","15.9","-44.5","1.6","899","123678"
"Bryan De La Cruz","MIA","326","1200","37","115","140","9","6.4%","23.8%",".157",".319",".263",".311",".420",".316","","98","-5.2","-8.5","-16.1","1.6","19600","650559"
"Conor Gillaspie","- - -","513","1551","33","147","158","1","6.9%","15.8%",".140",".280",".251",".304",".391",".302","","89","-0.7","-21.3","-13.8","1.6","9009","543216"
"Alexi Casilla","- - -","578","1893","12","225","157","80","6.9%","13.0%",".084",".279",".247",".302",".331",".283","","71","15.5","-50.4","0.6","1.6","5248","458210"
"Benny Agbayani","- - -","271","925","25","102","114","10","11.5%","19.6%",".150",".322",".273",".364",".423",".348","","106","-2.8","5.4","-18.1","1.6","416","133742"
"Jose Offerman","- - -","508","1767","27","230","156","15","11.8%","14.3%",".109",".286",".253",".342",".362",".316","","86","-3.6","-34.3","-10.4","1.6","205","119948"
"Larry Bigbie","- - -","392","1367","31","164","137","25","8.7%","22.1%",".128",".329",".267",".331",".395",".319","","92","10.9","-1.9","-28.3","1.6","128","406933"
"Mark Quinn","KCR","276","1101","39","142","149","16","4.7%","15.9%",".188",".303",".279",".320",".466",".337","","93","-1.3","-10.3","-11.7","1.6","621","240494"
"Humberto Quintero","- - -","471","1423","20","95","127","1","3.3%","20.7%",".093",".285",".234",".267",".327",".261","","57","-12.5","-86.6","57.1","1.6","1824","279827"
"Tom Goodwin","- - -","494","1387","12","205","112","117","8.9%","18.4%",".088",".308",".253",".320",".342",".297","","69","17.9","-38.5","8.2","1.6","1114","114961"
"Jarren Duran","BOS","193","697","13","86","67","33","6.0%","27.7%",".162",".347",".258",".309",".420",".314","","95","7.1","2.8","-10.2","1.6","24617","680776"
"Scott Sizemore","- - -","166","614","14","72","74","5","11.1%","26.4%",".143",".318",".240",".327",".383",".318","","98","0.9","-0.4","-5.6","1.6","2881","502003"
"George Kottaras","- - -","313","858","32","92","101","3","14.1%","23.7%",".197",".248",".215",".326",".411",".325","","100","-1.3","-1.8","-10.7","1.6","5506","435459"
"Eduardo Perez","- - -","406","1010","45","125","145","6","9.8%","17.8%",".206",".272",".256",".339",".462",".347","","110","-6.7","5.7","-24.1","1.6","1409","120408"
"Sam Haggerty","- - -","194","461","9","66","39","32","9.3%","25.4%",".123",".311",".238",".319",".361",".300","","96","7.2","4.7","-5.3","1.5","18054","664059"
"Paul Bako","- - -","620","1891","19","156","148","2","9.7%","23.8%",".087",".288",".220",".299",".307",".269","","56","-4.3","-109.9","62.4","1.5","676","132720"
"Aaron Guiel","- - -","307","1099","35","151","128","8","7.6%","19.8%",".168",".280",".246",".322",".414",".322","","89","1.4","-13.5","-8.5","1.5","1503","408224"
"Bill Spiers","HOU","128","413","3","41","43","7","12.1%","9.2%",".089",".329",".302",".387",".391",".349","","99","-0.4","-1.2","3.7","1.5","1012338","122593"
"Julio Borbon","- - -","294","878","8","112","76","47","5.6%","13.8%",".074",".313",".273",".318",".347",".298","","76","7.0","-17.5","2.4","1.5","3209","474865"
"Oneil Cruz","PIT","98","410","19","54","61","13","8.5%","33.7%",".212",".318",".237",".302",".449",".324","","106","3.2","6.2","-5.4","1.5","21711","665833"
"Charles Thomas","- - -","113","322","7","39","32","3","8.1%","16.5%",".131",".297",".259",".349",".390",".320","","91","3.1","-0.3","5.2","1.5","2962","433595"
"Brendan Rodgers","COL","317","1290","32","151","143","0","6.2%","20.1%",".146",".313",".265",".317",".410",".316","","85","-3.0","-27.8","-1.7","1.5","17907","663898"
"Benji Gil","ANA","337","895","18","84","91","20","5.9%","20.3%",".135",".308",".257",".304",".392",".304","","79","-2.5","-27.0","11.0","1.5","14","114768"
"Vinnie Pasquantino","KCR","133","558","19","49","52","1","10.8%","11.6%",".172",".279",".272",".355",".444",".347","","121","-4.8","8.5","-12.5","1.5","27676","686469"
"T.J. Rivera","NYM","106","344","8","37","43","1","3.5%","14.2%",".141",".332",".304",".335",".445",".333","","109","1.4","5.3","-1.9","1.5","12495","608061"
"Eric Owens","- - -","506","1753","16","211","136","74","6.6%","10.2%",".081",".299",".274",".323",".355",".301","","81","-0.5","-43.8","0.7","1.5","534","120140"
"Nick Martini","- - -","141","412","8","48","46","0","11.2%","21.1%",".144",".331",".268",".362",".412",".337","","113","1.4","7.5","-6.9","1.5","12005","605361"
"Jason Jennings","- - -","234","378","2","18","26","0","5.0%","21.2%",".061",".266",".207",".251",".267",".234","","21","-0.1","-38.5","40.9","1.5","434","407298"
"Ezequiel Tovar","COL","162","650","16","81","75","11","4.2%","26.9%",".153",".324",".251",".285",".404",".296","","69","-0.5","-25.1","17.9","1.5","24064","678662"
"Rickey Henderson","- - -","348","1290","19","192","95","72","16.9%","17.2%",".102",".270",".228",".364",".330",".323","","94","7.2","-3.6","-24.8","1.5","194","115749"
"Jon Niese","- - -","216","413","0","27","19","0","8.5%","39.7%",".026",".284",".150",".228",".176",".193","","16","-0.3","-40.6","41.9","1.5","4424","477003"
"Kristopher Negron","- - -","170","416","9","47","32","10","7.7%","25.7%",".115",".286",".221",".291",".336",".280","","73","4.5","-9.5","9.9","1.5","5306","502117"
"Shelley Duncan","- - -","330","997","43","117","144","2","9.7%","24.4%",".193",".259",".226",".305",".419",".317","","98","-4.2","-6.3","-13.5","1.5","3620","455167"
"Noah Syndergaard","- - -","164","251","6","14","15","0","6.0%","57.4%",".113",".384",".153",".206",".266",".208","","29","-0.1","-22.4","28.7","1.5","11762","592789"
"DeWayne Wise","- - -","576","1184","31","149","115","55","3.9%","20.7%",".153",".264",".228",".264",".381",".279","","65","12.1","-38.6","12.0","1.4","1554","276547"
"Chris Getz","- - -","459","1574","3","176","111","89","7.1%","11.0%",".057",".281",".250",".309",".307",".278","","66","12.0","-50.1","10.9","1.4","3388","460051"
"Jared Walsh","LAA","367","1350","58","146","184","4","7.2%","28.5%",".203",".298",".240",".300",".443",".316","","99","-1.3","-1.6","-29.3","1.4","18607","665120"
"Hanser Alberto","- - -","488","1477","22","160","137","12","2.4%","12.3%",".112",".295",".269",".292",".381",".288","","77","-1.0","-41.9","7.7","1.4","11902","593643"
"Hyun-Jin Ryu","- - -","188","262","1","19","12","0","4.6%","36.6%",".060",".308",".175",".222",".235",".206","","26","-0.1","-23.7","29.2","1.4","14444","547943"
"Brent Rooker","- - -","218","796","40","91","92","4","8.4%","32.4%",".220",".298",".230",".315",".451",".330","","113","1.1","13.8","-26.8","1.4","19627","667670"
"Calvin Murray","- - -","273","698","8","107","49","21","9.9%","15.3%",".103",".266",".230",".314",".332",".293","","73","2.1","-21.9","13.2","1.4","1262","150273"
"Raimel Tapia","- - -","631","2027","29","261","201","63","5.9%","18.9%",".114",".328",".274",".318",".387",".305","","80","14.7","-35.5","-17.8","1.4","14350","606132"
"Chris Richard","- - -","280","1006","34","132","122","18","8.1%","18.2%",".190",".282",".255",".323",".445",".329","","100","-4.9","-4.9","-15.2","1.4","163","276537"
"Mike Carp","- - -","318","1000","27","97","127","2","9.0%","24.3%",".160",".317",".254",".330",".414",".328","","107","-4.5","4.3","-24.0","1.4","7480","455077"
"Sal Fasano","- - -","266","724","27","80","73","0","5.5%","30.0%",".175",".288",".222",".289",".397",".301","","75","-1.0","-24.3","13.6","1.4","1205","114031"
"Nolan Reimold","- - -","480","1556","56","179","174","18","9.6%","22.9%",".176",".288",".246",".323",".422",".325","","99","-1.7","-3.4","-35.6","1.4","3441","460099"
"Tim Hudson","- - -","465","705","4","35","42","0","3.5%","26.7%",".054",".222",".159",".194",".213",".185","","6","-0.3","-81.6","72.9","1.4","921","218596"
"Taylor Teagarden","- - -","180","563","21","57","70","0","6.6%","34.5%",".175",".276",".202",".260",".376",".280","","64","-1.6","-25.7","20.8","1.4","5199","460003"
"Reggie Willits","LAA","414","1014","0","146","58","40","12.7%","16.7%",".044",".319",".258",".356",".302",".307","","84","7.9","-11.3","-9.7","1.4","5590","435065"
"Alex Escobar","- - -","125","439","13","53","52","5","9.3%","25.5%",".157",".325",".258",".328",".415",".323","","95","1.1","-1.4","0.5","1.4","383","276510"
"Alex Dickerson","- - -","339","1001","40","136","132","7","8.1%","20.4%",".205",".287",".255",".325",".460",".333","","110","-3.0","9.6","-28.8","1.4","12649","543105"
"Quintin Berry","- - -","132","345","3","53","33","29","7.5%","24.9%",".102",".355",".262",".333",".364",".311","","93","8.3","5.1","-4.0","1.4","9414","450641"
"Ryan McKenna","BAL","284","508","6","66","43","8","8.7%","33.3%",".096",".338",".221",".299",".318",".276","","75","5.0","-9.9","6.0","1.4","19928","663630"
"Jayson Nix","- - -","466","1465","38","143","130","36","7.4%","25.3%",".133",".264",".212",".282",".345",".279","","68","5.4","-50.3","14.1","1.4","3790","434624"
"Cole Hamels","- - -","430","778","2","40","34","1","2.4%","36.8%",".038",".283",".169",".195",".206",".181","","3","-1.3","-93.9","82.3","1.3","4972","430935"
"Steve Cox","TBD","372","1380","39","146","158","8","9.3%","17.2%",".157",".295",".262",".341",".420",".334","","100","-2.4","-2.1","-31.3","1.3","1200","150132"
"Joey Meneses","WSN","210","897","26","104","123","1","5.9%","20.3%",".156",".340",".288",".333",".444",".336","","112","-7.1","5.1","-23.1","1.3","14366","608841"
"Clete Thomas","- - -","249","794","13","95","65","6","9.7%","26.6%",".120",".313",".233",".311",".353",".298","","79","4.0","-15.7","2.0","1.3","3373","460004"
"Jay Bell","- - -","382","1356","33","160","128","7","11.9%","15.8%",".146",".274",".247",".342",".393",".326","","88","0.0","-20.8","-9.4","1.3","48","110826"
