"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Juan Francisco","- - -","404","1091","48","110","152","2","7.4%","34.4%",".203",".323",".236",".297",".439",".320","","100","-2.5","-2.7","-10.7","2.1","6978","464433"
"Daniel Vogelbach","- - -","571","1878","80","208","238","0","15.3%","25.3%",".190",".261",".220",".342",".410",".329","","110","-15.4","6.9","-51.9","2.1","14130","596129"
"Devin Mesoraco","- - -","468","1574","58","152","192","4","8.8%","20.1%",".174",".257",".232",".309",".406",".311","","94","-8.9","-22.2","-8.0","2.1","5666","519023"
"Triston Casas","BOS","159","597","29","77","77","1","14.9%","25.0%",".224",".301",".253",".365",".477",".364","","128","-3.3","16.5","-16.0","2.1","22514","671213"
"Craig Monroe","- - -","814","2924","115","368","433","19","6.4%","20.1%",".189",".279",".252",".301",".441",".317","","91","-5.6","-38.3","-40.6","2.1","1464","407155"
"Ezequiel Carrera","- - -","508","1305","19","174","97","44","7.4%","21.4%",".103",".328",".262",".324",".365",".304","","90","10.6","-4.3","-19.3","2.1","9048","485567"
"Kelby Tomlinson","SFG","273","687","3","77","47","19","8.4%","20.2%",".066",".336",".265",".331",".332",".294","","84","4.5","-9.1","7.1","2.1","13005","605509"
"Spencer Steer","CIN","184","773","25","86","94","15","10.2%","21.3%",".182",".312",".263",".349",".445",".345","","112","1.7","13.6","-19.2","2.1","26323","668715"
"Norris Hopper","CIN","168","440","1","60","20","17","7.0%","9.8%",".056",".350",".316",".367",".371",".331","","92","0.2","-3.9","10.8","2.1","2450","440361"
"Ian Stewart","- - -","511","1692","61","202","211","17","10.0%","28.0%",".186",".290",".229",".315",".415",".317","","83","0.3","-33.4","2.0","2.1","5950","456655"
"Trevor Larnach","MIN","188","693","20","77","86","2","11.0%","33.6%",".163",".320",".222",".315",".385",".306","","96","-0.2","-3.3","0.0","2.0","21501","663616"
"Jose Canseco","- - -","174","707","31","93","98","4","15.4%","25.0%",".203",".306",".255",".372",".458",".362","","115","0.4","14.3","-17.9","2.0","1001918","111962"
"Bobby Wilson","- - -","386","1047","18","83","102","0","6.7%","21.7%",".101",".245",".203",".258",".304",".249","","52","-3.0","-62.6","46.1","2.0","6564","435064"
"Seby Zavala","- - -","176","514","14","55","54","1","7.2%","35.8%",".138",".311",".210",".275",".347",".274","","72","-1.4","-18.8","21.0","2.0","18887","664874"
"Nomar Mazara","- - -","684","2690","85","294","360","7","7.3%","22.0%",".158",".302",".256",".315",".414",".313","","88","-6.0","-43.9","-29.9","2.0","14553","608577"
"Brian Hunter","- - -","341","768","6","114","63","39","8.5%","16.3%",".089",".313",".265",".329",".354",".307","","72","7.4","-20.7","14.9","2.0","562","116326"
"Ray Lankford","- - -","432","1406","57","187","171","19","13.6%","29.1%",".214",".322",".248",".354",".462",".350","","110","-4.2","15.0","-39.5","2.0","1044","117484"
"Tike Redman","- - -","432","1461","17","167","117","40","4.5%","10.1%",".105",".303",".281",".315",".386",".306","","81","8.3","-26.7","-1.5","2.0","1003","276523"
"Ryan Noda","OAK","128","495","16","63","54","3","15.6%","34.3%",".177",".347",".229",".364",".406",".342","","123","-0.3","13.1","-10.0","2.0","23312","676116"
