"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Eric Campbell","Mets","196","505","7","53","44","9","10.5%","23.0%",".089",".280",".221",".312",".311",".282","80","87.8","-1.4","-13.6","-4.1","-0.2","6938"
"Josh VanMeter","- - -","121","339","10","42","29","10","10.6%","23.6%",".161",".254",".211",".304",".372",".294","77","89.9","0.2","-9.9","-4.0","-0.2","15170"
"Dixon Machado","Tigers","172","505","2","44","37","3","6.7%","18.0%",".068",".277",".227",".285",".295",".258","56","85.3","-1.1","-27.5","8.2","-0.2","11472"
"Josh Naylor","- - -","134","383","9","42","38","2","7.8%","19.8%",".134",".293",".249",".309",".383",".298","83","88.7","0.9","-7.2","-8.6","-0.2","18839"
"Chance Sisco","Orioles","168","525","16","56","50","1","10.5%","33.3%",".156",".298",".205",".330",".361",".309","91","88.8","-1.8","-7.3","-12.2","-0.2","15694"
"Danny Worth","- - -","151","332","2","34","20","1","7.2%","19.3%",".063",".275",".223",".281",".287",".257","56","86.8","-1.6","-18.5","4.9","-0.3","198"
"Ryan Rua","Rangers","279","755","23","95","67","15","6.0%","30.6%",".147",".317",".236",".289",".382",".292","74","88.8","2.2","-21.6","-6.9","-0.3","12409"
"Willy Aybar","Rays","100","309","6","22","43","0","9.7%","19.7%",".115",".271",".230",".309",".344",".294","84","","0.9","-5.0","-8.7","-0.3","2192"
"Dioner Navarro","- - -","519","1729","44","144","194","4","7.5%","16.1%",".130",".272",".247",".304",".377",".299","88","85.8","-15.0","-40.8","-18.4","-0.3","3179"
"Raimel Tapia","Rockies","306","892","13","117","86","25","5.3%","21.5%",".125",".354",".285",".324",".409",".314","78","85.5","6.5","-18.9","-14.0","-0.3","14350"
"Ian Stewart","- - -","248","851","25","92","91","9","9.8%","26.3%",".156",".276",".220",".302",".376",".296","72","","-2.5","-30.4","1.6","-0.3","5950"
"Endy Chavez","- - -","324","980","11","96","76","19","4.1%","11.7%",".090",".294",".268",".297",".357",".288","79","","-1.6","-24.9","-10.1","-0.3","768"
"Rosell Herrera","- - -","149","421","3","35","31","7","7.1%","20.0%",".091",".279",".225",".286",".316",".265","63","87.5","1.5","-17.8","0.3","-0.3","11611"
"Dustin Garneau","- - -","140","427","9","41","42","0","9.6%","25.5%",".136",".259",".202",".288",".338",".275","61","84.3","-0.5","-20.7","3.7","-0.3","9433"
"Jason Kubel","- - -","525","2020","69","213","285","3","9.6%","25.0%",".175",".304",".248",".321",".423",".323","99","","-10.7","-12.3","-55.9","-0.3","2161"
"Willie Bloomquist","- - -","390","1279","8","155","98","37","4.5%","14.9%",".079",".321",".277",".312",".356",".295","81","85.9","-1.7","-30.5","-13.0","-0.4","1066"
"Ivan De Jesus","- - -","228","545","5","43","53","4","7.5%","23.9%",".085",".317",".242",".303",".327",".279","71","85.3","-1.0","-20.0","-0.4","-0.4","9886"
"Oswaldo Arcia","- - -","288","1075","44","103","131","3","7.1%","31.5%",".187",".310",".235",".298",".422",".313","96","86.5","-2.3","-7.6","-31.4","-0.4","10306"
"Jeremy Hermida","- - -","116","332","8","26","40","2","7.8%","27.4%",".141",".277",".214",".277",".355",".280","70","","-1.0","-12.6","-2.3","-0.4","7208"
"Xavier Paul","- - -","338","751","11","80","70","23","7.7%","22.0%",".115",".315",".250",".311",".365",".298","85","","-0.4","-13.0","-13.2","-0.4","5963"
"Jason Giambi","- - -","308","773","31","68","111","2","13.5%","23.8%",".190",".247",".217",".335",".407",".327","94","","-3.7","-8.5","-18.8","-0.4","818"
"Ryan Goins","- - -","556","1690","22","154","158","6","6.4%","22.0%",".104",".285",".228",".278",".333",".268","64","87.2","-4.8","-76.5","15.8","-0.4","9807"
"Tyler Wade","Yankees","161","346","6","50","28","13","9.2%","26.6%",".111",".249",".190",".274",".301",".257","58","86.2","6.0","-12.0","-2.7","-0.4","15730"
"Angel Sanchez","- - -","177","602","1","65","53","3","6.3%","14.8%",".055",".303",".256",".307",".311",".279","71","","1.0","-19.4","-2.7","-0.4","3492"
"Jack Wilson","- - -","180","520","0","46","29","6","3.7%","16.5%",".052",".281",".234",".265",".287",".245","52","","0.3","-28.8","7.5","-0.4","1017"
"Cristian Guzman","- - -","104","396","2","48","26","4","5.1%","15.9%",".071",".315",".266",".311",".337",".288","73","","-0.4","-13.1","-3.1","-0.4","728"
"Jose Lopez","- - -","313","1112","22","90","107","5","3.5%","12.1%",".114",".251",".236",".265",".350",".270","66","","-7.8","-51.6","10.0","-0.4","3114"
"Brent Lillibridge","- - -","283","587","18","84","60","29","5.5%","31.7%",".144",".287",".214",".270",".358",".277","68","","7.2","-14.4","-9.3","-0.4","3501"
